order_approved_at,order_item_id,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,review_score,customer_zip_code_prefix,seller_zip_code_prefix
2016-10-31,2,386.5,57.88,73.0,3237.0,2.0,3400.0,55.0,12.0,49.0,6.0,58681,95800
2016-11-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2016-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2017-01-31,2,234.89,36.66,76.0,2247.0,7.0,3133.0,42.0,23.0,37.0,10.0,11422,51800
2017-02-28,10,1030.71,216.61,471.0,12896.0,17.0,10654.0,229.0,152.0,193.0,40.0,357694,447329
2017-03-31,35,2723.96,467.34000000000003,1034.0,30806.0,52.0,24632.0,546.0,403.0,530.0,116.0,1161831,1596269
2017-04-30,15,1018.37,244.76999999999998,590.0,12958.0,23.0,20470.0,322.0,186.0,269.0,61.0,568849,837721
2017-05-31,24,2103.57,412.06,947.0,24142.0,32.0,23603.0,509.0,238.0,407.0,103.0,1104173,1112069
2017-06-30,27,2184.98,470.09,1023.0,21799.0,38.0,19295.0,503.0,265.0,452.0,116.0,1253559,1272441
2017-07-31,14,1461.5,263.04,463.0,12316.0,16.0,17113.0,260.0,154.0,239.0,65.0,504284,640721
2017-08-31,41,4831.08,680.64,1660.0,46148.0,78.0,60490.0,960.0,407.0,823.0,183.0,1165830,1431731
2017-09-30,27,2147.4900000000002,391.18,1065.0,26362.0,45.0,22100.0,648.0,222.0,569.0,109.0,802207,840630
2017-10-31,22,1409.6,281.53000000000003,715.0,20175.0,22.0,17700.0,376.0,169.0,293.0,71.0,709730,639928
2017-11-30,50,3996.96,730.74,2137.0,67395.0,116.0,45106.0,1124.0,557.0,852.0,198.0,1872313,1125908
2017-12-31,55,3305.59,755.0,2020.0,47717.0,89.0,37820.0,1099.0,612.0,935.0,213.0,2150889,1595819
2018-01-31,77,4007.7,969.7099999999999,2959.0,94796.0,123.0,54788.0,1691.0,661.0,1314.0,326.0,2856741,1944086
2018-02-28,62,3645.83,934.5,2401.0,68757.0,92.0,41206.0,1679.0,673.0,1044.0,246.0,2219795,1346560
2018-03-31,67,2920.45,934.3,2192.0,74437.0,74.0,40075.0,1651.0,594.0,1143.0,256.0,1913876,1234610
2018-04-30,83,7632.57,1314.97,3068.0,80853.0,122.0,52955.0,2066.0,850.0,1416.0,332.0,3159876,1617605
2018-05-31,126,9600.52,1927.19,4872.0,118933.0,159.0,88275.0,3412.0,868.0,2450.0,530.0,4028654,1169717
2018-06-30,80,5523.99,1174.71,3200.0,83616.0,108.0,55252.0,2074.0,678.0,1498.0,337.0,2357063,950971
2018-07-31,64,6641.93,1050.57,2726.0,53001.0,83.0,52046.0,1613.0,478.0,1228.0,253.0,1965415,1320253
2018-08-31,71,3837.57,959.38,2837.0,90830.0,92.0,39818.0,1543.0,766.0,1255.0,296.0,1525787,874100
